Year,Retailer country,Product type,Quantity,gross_margin,Unit price,Revenue
2004,Australia,Binoculars,0.0,,,0.0
2004,Australia,Climbing Accessories,0.0,,,0.0
2004,Australia,Cooking Gear,0.0,,,0.0
2004,Australia,Eyewear,0.0,,,0.0
2004,Australia,First Aid,0.0,,,0.0
2004,Australia,Golf Accessories,0.0,,,0.0
2004,Australia,Insect Repellents,0.0,,,0.0
2004,Australia,Irons,0.0,,,0.0
2004,Australia,Knives,0.0,,,0.0
2004,Australia,Lanterns,0.0,,,0.0
2004,Australia,Navigation,0.0,,,0.0
2004,Australia,Packs,0.0,,,0.0
2004,Australia,Putters,0.0,,,0.0
2004,Australia,Rope,0.0,,,0.0
2004,Australia,Safety,0.0,,,0.0
2004,Australia,Sleeping Bags,0.0,,,0.0
2004,Australia,Sunscreen,0.0,,,0.0
2004,Australia,Tents,0.0,,,0.0
2004,Australia,Tools,0.0,,,0.0
2004,Australia,Watches,0.0,,,0.0
2004,Australia,Woods,0.0,,,0.0
2004,Austria,Binoculars,8446.0,0.4069472848666747,136.618125,1113360.43
2004,Austria,Climbing Accessories,0.0,,,0.0
2004,Austria,Cooking Gear,56938.0,0.4270286586767732,50.8216,1185902.8599999999
2004,Austria,Eyewear,239404.0,0.43655696615716927,63.53212723560977,8818288.6
2004,Austria,First Aid,10667.0,0.51972804388026,15.769090909090908,166842.89
2004,Austria,Golf Accessories,12701.0,-inf,68.15181818181819,227214.6
2004,Austria,Insect Repellents,63618.0,0.6766381583709291,6.601999999999999,404205.52
2004,Austria,Irons,1790.0,0.43971427976079014,777.865,1228674.9300000002
2004,Austria,Knives,54367.0,0.39973108469447904,45.44894736842105,1146246.97
2004,Austria,Lanterns,25698.0,-inf,34.79633333333332,664951.3599999999
2004,Austria,Navigation,12252.0,0.3735295692391068,187.03052631578947,1504361.8900000001
2004,Austria,Packs,15716.0,0.375056225486657,217.86857142857144,2067641.43
2004,Austria,Putters,7860.0,0.4748127167261,118.74666666666667,665347.08
2004,Austria,Rope,0.0,,,0.0
2004,Austria,Safety,0.0,,,0.0
2004,Austria,Sleeping Bags,13732.0,0.3635736051418497,114.72062500000003,1345594.58
2004,Austria,Sunscreen,50462.0,0.5979178493766364,5.142857142857143,252978.43000000005
2004,Austria,Tents,13322.0,0.34027509112439,523.8933333333333,2167704.94
2004,Austria,Tools,0.0,,,0.0
2004,Austria,Watches,52469.0,0.46988856688319053,140.82084738333336,6093092.65
2004,Austria,Woods,1176.0,0.4629921238682739,1167.1054545454544,1290380.51
2004,Belgium,Binoculars,4737.0,0.41832487286498443,129.605,605356.37
2004,Belgium,Climbing Accessories,0.0,,,0.0
2004,Belgium,Cooking Gear,34273.0,0.42878757219187896,46.146428571428565,708836.1300000001
2004,Belgium,Eyewear,102960.0,0.4497126933007295,69.35788473645161,3854140.99
2004,Belgium,First Aid,5812.0,0.5131633163045005,15.045999999999998,89448.83
2004,Belgium,Golf Accessories,7148.0,0.6619952736999023,70.58714285714287,126879.16000000002
2004,Belgium,Insect Repellents,30962.0,0.6855785367823866,6.613333333333333,201206.85
2004,Belgium,Irons,883.0,0.45739979827158167,751.9879999999999,618144.07
2004,Belgium,Knives,26929.0,0.40621352877182876,53.12928571428573,568775.97
2004,Belgium,Lanterns,14052.0,0.42283974339817404,32.910810810810794,368193.38
2004,Belgium,Navigation,8084.0,0.36699247541419705,160.568,997430.3400000001
2004,Belgium,Packs,6446.0,0.3821624724310334,217.56900000000002,829691.4099999998
2004,Belgium,Putters,4143.0,0.4886264641903583,127.124,352668.69
2004,Belgium,Rope,0.0,,,0.0
2004,Belgium,Safety,0.0,,,0.0
2004,Belgium,Sleeping Bags,8202.0,0.37638976402157,117.92350000000002,799582.9600000001
2004,Belgium,Sunscreen,33815.0,0.6033798355001067,5.153846153846154,171553.41
2004,Belgium,Tents,8120.0,0.3621340870968642,483.46000000000004,1340402.97
2004,Belgium,Tools,0.0,,,0.0
2004,Belgium,Watches,28521.0,0.47123008047552345,127.66000070000005,3674985.46
2004,Belgium,Woods,683.0,0.4709367722822273,1175.77,765750.73
2004,Brazil,Binoculars,7351.0,0.39626974563621353,131.822,892675.95
2004,Brazil,Climbing Accessories,0.0,,,0.0
2004,Brazil,Cooking Gear,86288.0,0.4233499180892887,40.995999999999995,1777083.82
2004,Brazil,Eyewear,151693.0,0.44838294366814063,69.01521727081082,5698851.5200000005
2004,Brazil,First Aid,11839.0,0.5152958454795478,14.223636363636361,189656.50999999998
2004,Brazil,Golf Accessories,18729.0,0.6376278482169767,57.51444444444444,324914.38
2004,Brazil,Insect Repellents,81828.0,0.6803817102775925,6.585833333333333,516834.24000000005
