Year,Retailer country,Order method type,Revenue,Planned revenue,Product cost,Quantity,Unit cost,Unit price,Gross profit,Unit sale price,Gross profit yoy%
2004,Australia,E-mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004,Australia,Fax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004,Australia,Mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004,Australia,Sales visit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004,Australia,Special,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004,Australia,Telephone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004,Australia,Web,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004,Austria,E-mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004,Austria,Fax,921570.4500000001,921570.4500000001,546320.4500000001,20082.0,1481.8181416900002,2602.0572938900004,375249.99999999994,2602.0572938900004,inf
2004,Austria,Mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2004,Austria,Sales visit,551825.2,591496.05,349620.98,5534.0,4499.05,8491.079999999998,202204.22000000003,7887.363333370001,inf
2004,Austria,Special,230301.92999999996,261337.55,146475.12,8920.0,960.52,1835.11,83826.81000000001,1678.4699999999996,-0.5854349132772798
2004,Austria,Telephone,8003925.220000002,8644237.229999999,4760532.879999999,201094.0,10418.826325399996,19155.464000000004,3243392.339999999,18006.932347809998,37.69158733345571
2004,Austria,Web,20635166.869999997,21079062.68999999,12188376.440000001,404988.0,10660.00833585,19642.616428570003,8446790.430000002,18469.755936579993,1.6043073253357947
2004,Belgium,E-mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004,Belgium,Fax,279876.39,305054.38999999996,174389.99000000002,8161.0,1838.4499999999998,3183.250000000001,105486.4,2935.8149999999996,inf
2004,Belgium,Mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2004,Belgium,Sales visit,1197078.5300000005,1272264.1299999997,718424.6799999999,36081.0,6171.180000000001,11175.469999999998,478653.84999999974,10599.74383336,inf
2004,Belgium,Special,252434.77000000002,270014.94,158472.75999999998,7907.0,1616.92666667,2754.4800000000005,93962.01000000002,2581.23333333,-0.8036952800024484
2004,Belgium,Telephone,1276941.2599999998,1285990.74,735088.36,21710.0,4833.68350829,9287.555353539998,541852.9,8954.360353539998,4.7667231682251145
2004,Belgium,Web,13066716.769999998,13506723.629999997,7668252.59,251911.0,10662.632197319997,19645.639092190006,5398464.180000002,18676.594894659996,8.962969986872823
2004,Brazil,E-mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2004,Brazil,Fax,2473209.4899999998,2646764.7100000004,1498902.8,75209.0,6302.0599999999995,11340.869999999997,974306.6900000002,10600.68666664,inf
2004,Brazil,Mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2004,Brazil,Sales visit,218828.98,233900.25,123356.19,1012.0,2280.62,4541.65,95472.79000000001,4234.389999999999,inf
2004,Brazil,Special,86474.5,86474.5,51118.31,2031.0,589.77,1009.05,35356.19,1009.05,-0.6296726009578226
2004,Brazil,Telephone,3187848.580000002,3352938.3999999994,1835802.98,66863.0,9381.83274455,17401.7011364,1352045.6,16386.975136099994,37.240704103015624
